"z","y","x","ax","ay","az","gx","gy","gz","b","c"
281,32,83,8.53,-7.64,2.43,1142.55,2091.69,-784.38,2.57,485
283,33,82,7.59,-6.05,2.42,-1665.47,1497.13,-2568.05,2.57,485
286,34,84,6.44,-7.2,-0.95,-4659.74,139.68,-2048.71,2.56,485
289,36,88,5.94,-5.24,-2.82,-6421.92,-920.49,-3513.61,2.56,485
294,39,94,5.73,-7.22,-2.87,-8044.41,-2267.19,-3044.41,2.56,485
299,41,101,7.34,-8.41,-3.08,-8026.5,-2983.52,-3108.88,2.56,485
302,42,106,6.43,-8,-2.47,-6880.37,-2868.91,-2288.68,2.56,485
305,42,113,6.31,-7.17,-1.99,-5859.6,-2585.96,-472.78,2.56,485
307,41,117,5.39,-5.85,-1.52,-4480.66,-1590.26,-608.88,2.57,485
308,41,120,3.71,-5.94,-1.94,-2951.29,-694.84,1658.31,2.57,485
308,40,120,3.21,-6.26,-0.56,-809.46,558.74,1762.18,2.56,485
307,39,119,2.67,-7.07,-0.95,1024.36,1292.98,3194.84,2.57,485
304,36,115,4.39,-9.1,-2.21,3828.8,2016.48,5225.64,2.57,485
298,33,109,7.3,-7.69,-3.54,6916.19,2729.23,7070.2,2.56,485
293,31,103,6.17,-8.72,-3.16,9337.39,3814.47,4781.52,2.56,485
289,28,95,3.73,-10.55,-2.83,10956.3,4111.75,5003.58,2.56,485
283,23,85,1.2,-10.75,-2.58,13137.54,2757.88,7686.25,2.56,485
274,17,76,0.4,-11.92,-1.43,13581.66,218.48,9491.4,2.57,486
268,13,70,1.84,-7.92,3.01,12299.43,-2023.64,8925.5,2.56,486
260,8,62,14.68,-5.68,4.53,11464.9,-1801.58,7170.49,2.56,486
257,6,58,7.17,-6.08,6.01,7023.64,558.74,3463.47,2.56,486
255,3,54,-1.37,-6.7,7.6,4878.22,662.61,4118.91,2.56,486
254,2,52,0.79,-8.18,6.97,3452.72,257.88,308.02,2.56,486
254,2,50,0.82,-4.93,9.07,1013.61,408.31,-132.52,2.56,486
