z,y,x,ax,ay,az,gx,gy,gz,b,c
208,10,26,0.56,-4.62,9.87,-5748.57,214.90,-4799.43,2.56,251
210,11,29,1.08,-3.98,7.85,-6744.27,1106.73,-3287.97,2.57,251
213,12,33,2.16,-5.49,6.88,-6540.11,372.49,-3169.77,2.56,251
217,13,37,2.88,-8.73,6.77,-6375.36,737.82,-4126.07,2.56,251
221,15,40,2.79,-10.20,6.32,-5619.63,755.73,-4595.27,2.56,251
223,16,42,2.63,-8.50,5.95,-5064.47,716.33,-3388.25,2.57,251
227,17,45,2.88,-5.19,5.73,-5053.73,873.93,-3488.54,2.56,251
231,19,48,5.40,0.49,6.70,-5243.55,1221.35,-5411.89,2.56,251
236,21,51,3.50,-6.92,5.54,-5909.74,1479.23,-6468.48,2.56,251
240,23,53,2.58,-8.83,5.75,-6020.77,1020.77,-3828.80,2.57,251
245,24,56,5.05,-3.58,4.69,-5795.13,999.28,-4380.37,2.56,251
252,29,58,6.18,-1.70,4.05,-5945.56,1801.58,-10941.98,2.57,251
261,34,59,-0.11,-2.66,3.69,-6751.43,1031.52,-8875.36,2.56,251
266,37,62,0.75,-5.71,3.02,-6966.33,-859.60,-4362.46,2.57,251
270,40,66,8.93,-4.34,1.45,-6210.60,-974.21,-3742.84,2.56,251
276,44,68,9.40,-5.84,1.76,-4527.22,239.97,-7865.33,2.57,251
284,48,68,10.69,-6.55,2.50,-3510.03,1579.51,-6515.04,2.56,251
287,50,67,15.80,-5.51,0.36,-2374.64,3563.75,-1325.21,2.57,251
288,47,66,10.84,-8.52,0.87,-2234.96,4799.43,7084.53,2.56,251
283,39,67,6.18,-7.60,2.83,-225.64,5512.18,8617.48,2.56,251
283,36,64,6.54,-7.69,2.53,1106.73,6103.15,2063.04,2.56,251
283,33,62,5.71,-5.24,4.46,605.30,5085.96,2614.61,2.56,252
283,30,61,5.83,-4.65,5.96,-440.54,4201.29,2962.03,2.56,252
285,29,60,4.87,-6.41,5.94,-1708.45,3463.47,-1181.95,2.56,252
286,28,61,4.88,-6.20,4.82,-2979.94,2202.72,-232.81,2.56,252
288,28,62,3.33,-5.71,3.75,-3517.19,1364.61,-3248.57,2.57,252
291,29,64,2.61,-6.88,3.86,-4075.93,282.95,-981.38,2.56,252
292,30,67,3.84,-6.64,3.66,-3757.16,-522.92,-959.89,2.56,252
294,30,69,3.30,-5.75,3.23,-3133.95,-744.99,-32.23,2.56,252
293,30,71,5.57,-7.85,3.94,-2027.22,-540.83,232.81,2.57,252
293,29,72,5.28,-8.28,4.28,-1138.97,-325.93,2947.71,2.57,252
291,27,73,4.42,-8.33,3.40,-64.47,293.70,2106.02,2.56,252
290,27,73,5.72,-8.99,1.98,-89.54,315.19,497.85,2.57,252
290,26,73,5.82,-5.90,1.50,-1661.89,-386.82,784.38,2.57,252
291,27,75,3.83,-5.97,0.84,-3441.98,-787.97,-2883.24,2.57,252
294,30,79,2.62,-7.78,-0.68,-5662.61,-2159.74,-3599.57,2.56,252
297,32,84,4.76,-7.96,-2.05,-6060.17,-3062.32,-4197.71,2.56,252
300,34,87,4.44,-7.31,-1.49,-4842.41,-3015.76,-2700.57,2.57,252
302,36,91,6.60,-6.86,0.05,-3223.50,-2299.43,-2679.08,2.56,252
302,36,93,7.24,-7.73,0.12,-952.72,-737.82,1572.35,2.57,252
300,34,92,7.37,-11.03,-0.90,2170.49,1257.16,3839.54,2.56,252
295,30,88,4.99,-9.61,-1.31,5633.95,2761.46,6611.75,2.56,252
292,27,84,2.34,-9.52,-1.95,8313.04,3137.54,7489.25,2.57,252
286,21,77,3.35,-9.43,-1.58,9817.33,2671.92,8535.10,2.57,252
279,15,70,2.77,-8.16,2.04,10845.27,1404.01,9315.90,2.56,252
274,11,65,13.07,-8.63,3.63,10877.51,644.70,7786.53,2.57,252
269,6,58,2.72,-7.49,4.71,10562.32,1672.64,7535.82,2.57,252
264,2,52,-2.32,-6.72,7.47,9122.49,949.14,6543.70,2.56,253
260,-1,46,-1.65,-8.82,8.02,8073.07,-161.17,6038.68,2.57,253
