Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,12-04-2016,13162,8.50,8.50,0.00,1.88,0.55,6.06,0.00,25,13,328,728,1985
1503960366,13-04-2016,10735,6.97,6.97,0.00,1.57,0.69,4.71,0.00,21,19,217,776,1797
1503960366,14-04-2016,10460,6.74,6.74,0.00,2.44,0.40,3.91,0.00,30,11,181,1218,1776
1503960366,15-04-2016,9762,6.28,6.28,0.00,2.14,1.26,2.83,0.00,29,34,209,726,1745
1503960366,16-04-2016,12669,8.16,8.16,0.00,2.71,0.41,5.04,0.00,36,10,221,773,1863
1503960366,17-04-2016,9705,6.48,6.48,0.00,3.19,0.78,2.51,0.00,38,20,164,539,1728
1503960366,18-04-2016,13019,8.59,8.59,0.00,3.25,0.64,4.71,0.00,42,16,233,1149,1921
1503960366,19-04-2016,15506,9.88,9.88,0.00,3.53,1.32,5.03,0.00,50,31,264,775,2035
1503960366,20-04-2016,10544,6.68,6.68,0.00,1.96,0.48,4.24,0.00,28,12,205,818,1786
1503960366,21-04-2016,9819,6.34,6.34,0.00,1.34,0.35,4.65,0.00,19,8,211,838,1775
1503960366,22-04-2016,12764,8.13,8.13,0.00,4.76,1.12,2.24,0.00,66,27,130,1217,1827
1503960366,23-04-2016,14371,9.04,9.04,0.00,2.81,0.87,5.36,0.00,41,21,262,732,1949
1503960366,24-04-2016,10039,6.41,6.41,0.00,2.92,0.21,3.28,0.00,39,5,238,709,1788
1503960366,25-04-2016,15355,9.80,9.80,0.00,5.29,0.57,3.94,0.00,73,14,216,814,2013
1503960366,26-04-2016,13755,8.79,8.79,0.00,2.33,0.92,5.54,0.00,31,23,279,833,1970
1503960366,27-04-2016,18134,12.21,12.21,0.00,6.40,0.41,5.41,0.00,78,11,243,1108,2159
1503960366,28-04-2016,13154,8.53,8.53,0.00,3.54,1.16,3.79,0.00,48,28,189,782,1898
1503960366,29-04-2016,11181,7.15,7.15,0.00,1.06,0.50,5.58,0.00,16,12,243,815,1837
1503960366,30-04-2016,14673,9.25,9.25,0.00,3.56,1.42,4.27,0.00,52,34,217,712,1947
1503960366,01-05-2016,10602,6.81,6.81,0.00,2.29,1.60,2.92,0.00,33,35,246,730,1820
1503960366,02-05-2016,14727,9.71,9.71,0.00,3.21,0.57,5.92,0.00,41,15,277,798,2004
1503960366,03-05-2016,15103,9.66,9.66,0.00,3.73,1.05,4.88,0.00,50,24,254,816,1990
1503960366,04-05-2016,11100,7.15,7.15,0.00,2.46,0.87,3.82,0.00,36,22,203,1179,1819
1503960366,05-05-2016,14070,8.90,8.90,0.00,2.92,1.08,4.88,0.00,45,24,250,857,1959
1503960366,06-05-2016,12159,8.03,8.03,0.00,1.97,0.25,5.81,0.00,24,6,289,754,1896
1503960366,07-05-2016,11992,7.71,7.71,0.00,2.46,2.12,3.13,0.00,37,46,175,833,1821
1503960366,08-05-2016,10060,6.58,6.58,0.00,3.53,0.32,2.73,0.00,44,8,203,574,1740
1503960366,09-05-2016,12022,7.72,7.72,0.00,3.45,0.53,3.74,0.00,46,11,206,835,1819
1503960366,10-05-2016,12207,7.77,7.77,0.00,3.35,1.16,3.26,0.00,46,31,214,746,1859
1503960366,11-05-2016,12770,8.13,8.13,0.00,2.56,1.01,4.55,0.00,36,23,251,669,1783
1503960366,12-05-2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,0
